Farmer_id,farmer_consent_form,district,number_of_coffee_farms_owned,farmer_head_of_family,number_of_household_members,farmer_member_coffee_org,name_of_coffee_org,farmer_part_of_carbon_project,carbon_project_name,farmer_has_mobile_money_wallet,land_agri_or_forest,land_documents,land_documents_other,any_land_dispute,any_land_dispute_details,protect_water_sources,protect_water_sources_details,use_organic_waste,use_organic_waste_details,harvest_wood_farm,harvest_wood_farm_regulations,harvest_wood_farm_regulations_details,interact_leaders_farming_activities,interact_leaders_farming_activities_details,workers_treatment,workers_treatment_details,pay_min_wage,pay_min_wage_details,underage_workers,underage_workers_details,workers_follow_schedule,workers_follow_schedule_details,workers_aware_of_rights,workers_aware_of_rights_details,pay_taxes,pay_taxes_details,corruption_practices_observed,corruption_practices_observed_details,gps_center_accuracy,gps_center_altitude,farm_size,coffee_trees_farmers_estimate,number_productive_trees,date_of_planting,percent_Arabica_grown,percent_Robusta_grown,crops_grown,crop_grown_other,irrigation_method,gap,male_workers,female_workers,temp_workers,permanent_workers,local_workers,immigrant_workers,2022_production_FAQ,2023_production_FAQ,2022_production_kiboko,2023_production_kiboko,2022_production_green_cherries,2023_production_green_cherries,sell_coffee_to,primary_buyer,primary_buyer_other
F-001,1.0,Kayunga,1,yes,4.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.8,1110.2,0.342465,950.0,900.0,2014-05-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Weeding', 'Intercropping']",3.0,2.0,3.0,2.0,5.0,0.0,750.0,650.0,1500.0,1500.0,,750.0,It's picked from your farm,Supplier,
F-002,1.0,Kayunga,1,yes,4.0,no,,no,,no,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,9.0,1063.8,0.210546,400.0,300.0,2016-05-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Intercropping', 'Weeding']",1.0,2.0,1.0,2.0,3.0,0.0,400.0,350.0,800.0,800.0,,400.0,At a hulling station,Supplier,
F-003,1.0,Kayunga,1,yes,2.0,no,,no,,no,Agricultural Use,Title,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.45,1130.8,0.822438,750.0,700.0,1999-12-03 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Using Fertilizers', 'Weeding', 'Intercropping']",1.0,0.0,0.0,1.0,0.0,0.0,200.0,150.0,400.0,400.0,,200.0,It's picked from your farm,Supplier,
F-004,1.0,Kayunga,1,yes,3.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.8,1074.5,0.975449,1050.0,1000.0,2000-08-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Intercropping', 'Weeding']",3.0,2.0,4.0,1.0,5.0,0.0,1100.0,1000.0,2200.0,2200.0,,1100.0,It's picked from your farm,Supplier,
F-005,1.0,Kayunga,1,yes,3.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.8,1080.9,1.110423,950.0,900.0,1995-03-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Intercropping', 'Weeding']",3.0,3.0,5.0,1.0,6.0,0.0,900.0,800.0,1800.0,1800.0,,900.0,It's picked from your farm,Supplier,
F-006,1.0,Kayunga,1,yes,2.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,10.3,1075.3,0.737308,850.0,800.0,2006-05-12 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,['Intercropping'],2.0,2.0,1.0,3.0,4.0,0.0,900.0,800.0,1800.0,1800.0,,900.0,It's picked from your farm,Supplier,
F-007,1.0,Kayunga,2,yes,6.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,8.3,1043.9,0.369906,1000.0,1000.0,2004-08-09 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",4.0,1.0,4.0,1.0,5.0,0.0,1000.0,800.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-008,1.0,Luwero,1,yes,2.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.585,1123.379,0.286,200.0,150.0,2016-03-02 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Intercropping'],1.0,2.0,1.0,2.0,1.0,0.0,100.0,50.0,100.0,100.0,,100.0,It's picked from your farm,Supplier,
F-009,1.0,Kayunga,1,no,4.0,no,,no,,no,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,Yes,,no,,yes,,yes,,yes,,no,,3.6,1024.0,1.303855,950.0,900.0,2009-03-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Using Fertilizers'],2.0,0.0,0.0,3.0,0.0,0.0,700.0,500.0,950.0,950.0,,700.0,It's picked from your farm,Cooperative representative,
F-010,1.0,Kayunga,1,yes,8.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.0652142,1073.595,0.424243,1200.0,1000.0,2000-07-07 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Pruning', 'Weeding', 'Intercropping']",6.0,2.0,2.0,5.0,8.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,At a hulling station,Supplier,
F-011,1.0,Kayunga,1,yes,10.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,Yes,,no,,yes,,yes,,yes,,no,,0.623,1056.029,0.933127,800.0,800.0,1965-10-05 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Pruning', 'Weeding']",0.0,0.0,0.0,0.0,2.0,0.0,1000.0,950.0,2000.0,2000.0,,1000.0,It's picked from your farm,Hulling Station representative,
F-012,1.0,Kayunga,1,no,10.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,Yes,,no,,yes,,yes,,yes,,no,,13.867,1075.209,0.160922,1500.0,1500.0,1971-07-12 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Pruning', 'Weeding']",0.0,0.0,0.0,0.0,3.0,0.0,1500.0,1450.0,3000.0,3000.0,,1500.0,It's picked from your farm,Hulling Station representative,
F-013,1.0,Kayunga,1,yes,7.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.152,1037.1,2.130879,1000.0,800.0,2000-09-13 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Intercropping']",4.0,2.0,0.0,6.0,6.0,0.0,359.0,360.0,700.0,700.0,,359.0,It's picked from your farm,Supplier,
F-014,1.0,Kayunga,1,no,9.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,11.9,1047.6,0.247588,1350.0,1300.0,2000-06-03 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,['Weeding'],8.0,2.0,3.0,7.0,10.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,At a hulling station,Supplier,
F-015,1.0,Kayunga,1,yes,8.0,no,,no,,no,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.767,1061.69999999999,1.241591,1050.0,1000.0,2000-09-13 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Intercropping', 'Weeding']",5.0,5.0,6.0,4.0,10.0,0.0,900.0,900.0,2000.0,2000.0,1000.0,1000.0,At a hulling station,Supplier,
F-016,1.0,Kayunga,1,yes,6.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,0.7861534,1039.775,0.676514,1300.0,1000.0,2000-06-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Pruning', 'Weeding', 'Intercropping']",7.0,2.0,6.0,3.0,9.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-017,1.0,Kayunga,1,yes,4.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.4,1092.2,2.404904,1150.0,1100.0,2008-02-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Weeding', 'Intercropping']",3.0,3.0,4.0,7.0,10.0,0.0,1100.0,1000.0,2200.0,2200.0,,1100.0,At a hulling station,Supplier,
F-018,1.0,Kayunga,1,yes,5.0,no,,no,,no,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,7.9,1059.5,0.525987,1050.0,1000.0,2014-08-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Weeding', 'Intercropping']",4.0,3.0,2.0,5.0,7.0,0.0,1100.0,1000.0,2200.0,2200.0,,1100.0,At a hulling station,Supplier,
F-019,1.0,Kayunga,1,yes,5.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,4.8,1065.1,1.118806,1050.0,1000.0,2000-08-16 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Intercropping', 'Weeding']",3.0,2.0,3.0,2.0,5.0,0.0,1000.0,850.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-020,1.0,Kayunga,1,yes,6.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.0873847,1086.221,0.621581,1700.0,1500.0,2009-07-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Pruning', 'Weeding', 'Intercropping']",4.0,4.0,4.0,4.0,8.0,0.0,1500.0,1350.0,3000.0,3000.0,,1500.0,At a hulling station,Supplier,
F-021,1.0,Luwero,1,yes,4.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,5.8,1133.3,0.550166,2850.0,2800.0,2018-09-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Intercropping'],2.0,2.0,0.0,4.0,0.0,0.0,600.0,600.0,2000.0,2000.0,,600.0,It's picked from your farm,Supplier,
F-022,1.0,Kayunga,1,yes,5.0,no,,no,,no,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,0.76525766,1133.107,0.702556,1200.0,1000.0,2009-07-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",4.0,2.0,4.0,2.0,6.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,It's picked from your farm,Cooperative representative,
F-023,1.0,Kayunga,1,yes,4.0,no,,no,,no,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.6,1096.6,0.248949,1050.0,1000.0,2014-02-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Weeding', 'Intercropping']",3.0,2.0,4.0,1.0,5.0,0.0,1050.0,950.0,2100.0,2100.0,,1050.0,It's picked from your farm,Supplier,
F-024,1.0,Kayunga,1,yes,10.0,no,,no,,no,Natural forest,Customary,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,3.652,1114.4,0.361324,900.0,800.0,2019-07-06 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Using Fertilizers'],1.0,1.0,2.0,2.0,0.0,0.0,800.0,400.0,1600.0,1600.0,,800.0,It's picked from your farm,Supplier,
F-025,1.0,Kayunga,1,yes,9.0,no,,no,,no,Natural forest,Customary,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,5.092,1106.9,0.221562,900.0,800.0,2000-08-09 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Using Fertilizers'],1.0,1.0,2.0,2.0,0.0,0.0,800.0,400.0,1600.0,1600.0,,800.0,It's picked from your farm,Supplier,
F-026,1.0,Kayunga,1,yes,8.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.575,1056.0,0.119615,1300.0,1000.0,2006-06-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",6.0,4.0,4.0,6.0,10.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
